Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender_Male,Married_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_No Phone Service,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Online Security_No Internet Service,Online Security_Yes,Online Backup_No Internet Service,Online Backup_Yes,Device Protection Plan_No Internet Service,Device Protection Plan_Yes,Premium Tech Support_No Internet Service,Premium Tech Support_Yes,Streaming TV_No Internet Service,Streaming TV_Yes,Streaming Movies_No Internet Service,Streaming Movies_Yes,Streaming Music_No Internet Service,Streaming Music_Yes,Unlimited Data_No Internet Service,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Actual,Churn_Probability,Recommendation
20,0,8,21,0.0,59.0,28.5,629.35,0.0,0,0.0,629.35,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.15250056526645026,No Action Needed
75,0,0,11,2.63,13.0,111.4,1183.05,0.0,40,28.93,1251.98,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0,0.32679498358288245,No Action Needed
77,0,0,4,30.11,25.0,69.35,261.65,0.0,0,120.44,382.09,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0.24530758977570433,No Action Needed
31,0,0,5,24.16,0.0,19.95,107.05,0.0,0,120.8,227.85,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0.06857125185925447,No Action Needed
32,1,1,72,0.0,16.0,65.65,4664.5,0.0,60,0.0,4724.5,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,0.07366339043273508,No Action Needed
25,0,4,71,6.23,58.0,81.85,5924.4,0.0,0,442.33,6366.73,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0,0.010409416714494728,No Action Needed
32,0,0,67,15.32,0.0,19.95,1311.75,0.0,0,1026.44,2338.19,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.008476953355223004,No Action Needed
46,0,8,70,0.0,26.0,49.85,3370.2,0.0,0,0.0,3370.2,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0,0.03470535057689803,No Action Needed
19,0,0,26,49.87,48.0,86.65,2208.75,0.0,0,1296.62,3505.37,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0,0.3533803163999176,No Action Needed
43,0,0,5,38.89,8.0,104.1,541.9,0.0,0,194.45,736.35,True,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,1,0.7093326516696594,Provide Premium Tech Support
20,1,1,19,31.58,0.0,24.9,467.7,0.0,0,600.02,1067.72,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0.050446342895744595,No Action Needed
51,0,6,72,43.91,0.0,20.5,1502.25,0.0,0,3161.52,4663.77,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0,0.00338782651014318,No Action Needed
35,3,3,72,12.96,56.0,80.45,5886.85,0.0,0,933.12,6819.97,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,0.0022001035168689367,No Action Needed
19,0,0,4,41.12,42.0,70.4,281.0,0.0,70,164.48,515.48,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0.6075596115625007,Provide Premium Tech Support
34,0,0,12,38.96,0.0,20.05,265.45,0.0,0,467.52,732.97,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0.05522468594277954,No Action Needed
50,0,2,51,17.95,14.0,69.75,3562.5,0.0,0,915.45,4477.95,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,0,0.0637182699806185,No Action Needed
32,0,0,42,48.41,0.0,19.55,839.4,12.16,0,2033.22,2860.46,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,0,0.013484815483119021,No Action Needed
62,0,1,3,0.0,4.0,29.8,94.4,0.0,0,0.0,94.4,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0.6402926269958786,Provide Premium Tech Support
23,0,2,68,8.62,53.0,64.1,4326.25,19.12,0,586.16,4893.29,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0.04008803752988286,No Action Needed
80,0,10,56,11.55,27.0,95.65,5471.75,21.71,0,646.8,6096.84,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,0,0.08050392477295955,No Action Needed
35,0,0,10,37.36,28.0,98.7,973.25,0.0,0,373.6,1346.85,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,1,0.6845963476920792,Provide Premium Tech Support
62,1,1,64,35.25,0.0,24.8,1514.85,0.0,0,2256.0,3770.85,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,0,0.016938754603614412,No Action Needed
48,0,4,65,41.2,10.0,104.25,6812.95,0.0,0,2678.0,9490.95,True,True,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,0,0.14703994027266162,No Action Needed
27,1,1,4,39.89,0.0,20.85,62.9,0.0,0,159.56,222.46,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0.1295119901118988,No Action Needed
33,0,10,72,44.27,8.0,103.95,7556.9,0.0,70,3187.44,10814.34,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,0,0.03317459703666612,No Action Needed
68,0,9,11,29.15,2.0,82.9,880.05,0.0,0,320.65,1200.7,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,0,0.2804591446640564,No Action Needed
46,0,0,13,3.36,15.0,98.15,1230.25,0.0,40,43.68,1313.93,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,1,0.6219789362946649,Provide Premium Tech Support
42,0,0,14,18.74,20.0,75.35,1025.95,0.0,0,262.36,1288.31,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0.4225323320788013,Offer Loyalty Reward
29,0,0,3,27.34,71.0,73.6,232.5,0.0,10,82.02,324.52,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,0.5786819600095935,Offer Loyalty Reward
63,2,1,24,17.27,18.0,54.75,1338.15,0.0,0,414.48,1752.63,True,True,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0.1523244427633013,No Action Needed
24,1,3,61,0.0,76.0,33.6,2117.2,0.0,110,0.0,2227.2,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.11184829441710976,No Action Needed
