Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Target,Actual,Churn_Probability,Prediction,Recommendation
0668-OGMHD,Female,20,Yes,0,Santa Rosa,95405,38.439696,-122.668817,8,21,Offer D,No,,,Yes,DSL,59.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.5,629.35,0.0,0,0.0,629.35,Stayed,,,0,0,0.15250056526645026,0,No Action Needed
3292-PBZEJ,Male,75,No,0,Greenview,96037,41.528541,-122.955018,0,11,,Yes,2.63,Yes,Yes,Fiber Optic,13.0,No,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,111.4,1183.05,0.0,40,28.93,1251.98,Stayed,,,0,0,0.32679498358288245,0,No Action Needed
3223-DWFIO,Male,77,No,0,Forks Of Salmon,96031,41.232128,-123.194748,0,4,,Yes,30.11,No,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.35,261.65,0.0,0,120.44,382.09,Stayed,,,0,0,0.24530758977570433,0,No Action Needed
6377-KSLXC,Male,31,No,0,Fair Oaks,95628,38.652065,-121.25441,0,5,,Yes,24.16,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.95,107.05,0.0,0,120.8,227.85,Stayed,,,0,0,0.06857125185925447,0,No Action Needed
5360-XGYAZ,Male,32,Yes,1,Los Angeles,90040,33.994524,-118.149953,1,72,,No,,,Yes,DSL,16.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,65.65,4664.5,0.0,60,0.0,4724.5,Stayed,,,0,0,0.07366339043273508,0,No Action Needed
8146-QQKZH,Female,25,Yes,0,El Sobrante,94803,37.963995,-122.288296,4,71,Offer A,Yes,6.23,No,Yes,DSL,58.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,81.85,5924.4,0.0,0,442.33,6366.73,Stayed,,,0,0,0.010409416714494728,0,No Action Needed
5146-YYFRZ,Male,32,No,0,Hacienda Heights,91745,33.998471,-117.973758,0,67,Offer A,Yes,15.32,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.95,1311.75,0.0,0,1026.44,2338.19,Stayed,,,0,0,0.008476953355223004,0,No Action Needed
4312-GVYNH,Female,46,Yes,0,Westminster,92683,33.752591,-117.993661,8,70,,No,,,Yes,Cable,26.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,49.85,3370.2,0.0,0,0.0,3370.2,Stayed,,,0,0,0.03470535057689803,0,No Action Needed
8404-FYDIB,Male,19,No,0,Los Angeles,90012,34.065875,-118.238728,0,26,Offer C,Yes,49.87,Yes,Yes,Fiber Optic,48.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,86.65,2208.75,0.0,0,1296.62,3505.37,Stayed,,,0,0,0.3533803163999176,0,No Action Needed
2369-UAPKZ,Male,43,No,0,Meadow Vista,95722,39.003358,-121.022539,0,5,Offer E,Yes,38.89,Yes,Yes,Fiber Optic,8.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,104.1,541.9,0.0,0,194.45,736.35,Churned,Other,Moved,1,1,0.7093326516696594,1,Provide Premium Tech Support
